frame,state
frame0000,-1
frame0001,-1
frame0002,-1
frame0003,-1
frame0004,-1
frame0005,-1
frame0006,-1
frame0007,-1
frame0008,-1
frame0009,-1
frame0010,-1
frame0011,-1
frame0012,-1
frame0013,-1
frame0014,-1
frame0015,-1
frame0016,-1
frame0017,-1
frame0018,-1
frame0019,-1
frame0020,-1
frame0021,-1
frame0022,-1
frame0023,-1
frame0024,-1
frame0025,-1
frame0026,-1
frame0027,-1
frame0028,-1
frame0029,-1
frame0030,-1
frame0031,-1
frame0032,-1
frame0033,-1
frame0034,-1
frame0035,-1
frame0036,-1
frame0037,-1
frame0038,-1
frame0039,-1
frame0040,-1
frame0041,-1
frame0042,-1
frame0043,-1
frame0044,-1
frame0045,-1
frame0046,-1
frame0047,-1
frame0048,-1
frame0049,-1
frame0050,-1
frame0051,-1
frame0052,-1
frame0053,-1
frame0054,-1
frame0055,-1
frame0056,-1
frame0057,-1
frame0058,-1
frame0059,-1
frame0060,-1
frame0061,-1
frame0062,-1
frame0063,-1
frame0064,-1
frame0065,-1
frame0066,-1
frame0067,-1
frame0068,-1
frame0069,-1
frame0070,-1
frame0071,-1
frame0072,-1
frame0073,-1
frame0074,-1
frame0075,-1
frame0076,-1
frame0077,-1
frame0078,-1
frame0079,-1
frame0080,-1
frame0081,-1
frame0082,-1
frame0083,-1
frame0084,-1
frame0085,-1
frame0086,-1
frame0087,-1
frame0088,-1
frame0089,-1
frame0090,-1
frame0091,-1
frame0092,-1
frame0093,-1
frame0094,-1
frame0095,-1
frame0096,-1
frame0097,-1
frame0098,-1
frame0099,-1
frame0100,-1
frame0101,-1
frame0102,-1
frame0103,-1
frame0104,-1
frame0105,-1
frame0106,-1
frame0107,-1
frame0108,-1
frame0109,-1
frame0110,-1
frame0111,-1
frame0112,-1
frame0113,-1
frame0114,-1
frame0115,-1
frame0116,-1
frame0117,-1
frame0118,-1
frame0119,-1
frame0120,-1
frame0121,-1
frame0122,-1
frame0123,-1
frame0124,-1
frame0125,-1
frame0126,-1
frame0127,-1
frame0128,-1
frame0129,-1
frame0130,-1
frame0131,-1
frame0132,-1
frame0133,-1
frame0134,-1
frame0135,-1
frame0136,-1
frame0137,-1
frame0138,-1
frame0139,-1
frame0140,-1
frame0141,-1
frame0142,-1
frame0143,-1
frame0144,-1
frame0145,-1
frame0146,-1
frame0147,-1
